Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G55650	0	0	0	0	0	0	0	2	0	0	0	0
AT1G78180	37	34	31	40	31	52	68	59	68	99	126	65
AT1G55928	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29880	269	317	357	428	428	419	875	845	715	1353	1484	935
AT1G53645	55	67	70	67	74	100	221	206	180	273	365	209
AT1G06240	4	14	5	13	17	16	31	27	28	23	33	19
AT1G72330	15	17	16	20	19	14	54	47	31	82	71	48
AT1G20840	87	114	99	179	173	193	384	356	323	533	727	387
AT1G45050	11	7	15	15	22	32	25	29	20	23	39	23
AT1G52500	8	11	20	16	14	6	29	49	19	64	57	58
AT1G10430	23	30	41	68	56	66	96	83	62	78	140	66
AT1G05670	1	2	5	2	0	4	4	3	1	8	14	5
AT1G64110	61	95	71	111	78	138	29	23	15	44	48	26
AT1G65220	64	54	69	134	146	143	146	128	111	240	323	194
AT1G13635	5	0	2	2	4	2	0	8	2	7	5	5
AT1G54950	20	8	12	55	53	45	28	20	12	13	29	16
AT1G55730	9	7	9	29	18	16	24	20	9	36	39	26
AT1G07310	71	84	109	176	188	163	150	137	126	235	325	198
AT1G77230	3	4	3	6	2	3	6	9	7	7	10	9
AT1G52400	197	264	318	282	289	364	175	172	152	256	313	191
AT1G16430	0	7	1	3	3	3	4	3	2	5	7	4
AT1G27752	37	44	50	68	49	81	102	96	106	157	177	110
AT1G14880	0	0	0	0	0	1	0	0	0	1	0	1
AT1G11190	7	7	8	11	15	25	8	9	7	24	21	13
AT1G43100	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26650	14	25	13	24	26	19	38	24	25	63	61	41
AT1G54420	0	0	1	0	0	0	0	0	0	0	0	0
AT1G34640	61	73	63	78	84	110	94	87	85	126	165	81
