gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G21210	0.08576548	0.174523891	0.236386515	0.148361335	0.099411683	0.139596326	0.055197194	0.192805192
AT1G31260	0	0	0	0	0.080605457	0.707195342	0.202594523	0
AT1G77815	0	0	0	0	0	0	0	0
AT1G47800	0	0	0	0	0	0	0	0
AT1G44770	14.099783	15.71272433	14.24426941	16.07420553	18.02257175	16.79066853	19.87849189	22.02664424
AT1G68380	0.030612436	0.077710564	0.059404029	0.126711083	0.378378607	0.134982714	0	0.167755495
AT1G01820	23.66867198	16.48208538	22.42813958	19.81455848	26.09448859	22.83624992	28.12381182	21.87483388
AT1G50050	0	0	0.039849955	0.084594351	0	0	0	0
AT1G74088	2.297650924	1.38690503	2.370695453	1.418045037	0	0.634736803	0.067100162	0.245839408
AT1G27620	2.390763325	2.123122403	2.027199688	2.003574185	2.537536862	3.804316388	1.578592633	1.764445482
AT1G63320	0	0	0	0	0	0	0	0
AT1G21200	5.108426175	5.878135906	4.019506445	5.519624636	4.858223586	4.608695453	6.107834459	6.410515401
AT1G03780	4.399107135	4.509149629	3.733783807	3.463105964	7.6617115	5.05139079	5.864118373	4.058541749
AT1G09070	137.0203519	103.2428781	127.0966235	116.1659735	85.57263262	126.5948799	101.1213611	100.674957
AT1G56310	4.047480774	2.965808959	3.839445896	3.407315192	2.333024102	1.716786481	2.467668423	1.784685429
AT1G48900	33.53661604	33.08856633	29.15848323	32.31032881	43.9404914	34.76952519	47.00853788	34.36412118
AT1G78700	11.90153091	12.03862691	11.93756136	11.85133147	5.142347733	3.818886542	7.805672245	5.207915274
AT1G65845	12.50567329	8.09322332	11.62327726	7.358953363	12.75498392	5.217777424	21.02597763	7.700378481
AT1G34350	9.356485701	9.468916992	10.06064615	6.649653249	9.54539035	9.164134275	8.508282638	6.446477601
AT1G31630	0	0	0	0	0	0	0	0
AT1G28470	1.772879218	2.310736853	1.330450096	1.892377565	1.994781005	2.056244142	1.247732975	1.090000016
AT1G12665	0	0	0	0	0	0	0.154570668	0
AT1G22460	1.13869556	0.924993194	0.941515331	1.628282139	0.459913035	0.524903861	0.207878411	0.707516245
